applications,seats,placements_pct,ad_budget,courses,annual_fees,last_year_admissions,admissions
2028,1563,76.0,562534,10,202182,1091,1271
2140,987,94.1,206126,8,128322,887,783
1444,1179,79.8,421124,7,84269,1110,834
1995,1292,74.4,546918,12,140383,975,1034
3000,1864,80.7,100351,11,201256,1374,1442
3000,1980,74.6,90735,8,132218,1644,1455
1274,814,78.7,173170,9,185173,718,616
1280,864,68.3,261198,11,190521,680,642
2029,1320,77.9,389275,10,203404,1108,1180
3000,2167,74.2,430957,12,231998,1874,1840
2588,1952,69.0,179380,11,150699,1831,1593
2361,1447,93.8,564842,5,104126,1012,1234
2632,1886,69.3,509219,5,130812,1790,1359
2779,1962,78.1,292014,9,150629,1506,1624
2537,1392,71.6,89835,9,199931,1207,1166
2579,1191,80.4,135906,11,77296,979,1046
2149,1218,67.8,362020,10,130262,970,1013
1289,1088,84.7,190862,12,211472,935,862
1394,1178,94.3,351310,10,192400,906,964
2211,1030,71.3,532291,12,203054,708,896
2593,1817,87.7,474011,6,217067,1448,1333
1009,840,74.9,246447,7,212066,678,669
3000,1851,90.0,327552,7,194382,1315,1458
1668,934,95.5,522102,12,151941,869,915
1813,1000,76.1,699816,7,247130,718,829
2201,1579,65.8,622314,8,174588,1220,1292
1931,1729,85.6,478448,6,110485,1204,1400
3000,1856,79.8,340851,11,126242,1505,1448
2574,1871,82.0,342837,7,196373,1389,1527
2400,1302,75.3,713180,8,236829,1037,1129
2264,1206,70.9,108255,12,106276,865,1009
2841,1604,87.3,791348,12,89411,1068,1488
1297,898,80.6,558350,8,229268,794,749
2074,1483,66.5,570419,5,235174,1249,1112
2680,1525,83.5,107358,8,123366,1147,1135
3000,1760,81.9,515981,9,141025,1169,1615
3000,1412,75.4,429040,10,190533,1284,1176
1754,1442,91.0,156161,8,132738,1011,1277
2322,1828,73.1,280104,9,228503,1699,1345
3000,2041,76.6,721026,9,93826,1620,1946
2487,1302,84.1,475992,5,81647,979,1011
3000,1566,78.6,377660,11,111485,1366,1262
1584,1197,66.9,132331,5,125065,1093,905
2916,1670,79.5,594167,12,94762,1271,1511
2983,1594,74.7,586053,12,86496,1231,1410
2203,1192,84.9,522111,8,207231,930,888
1558,1006,79.2,447389,5,103748,932,776
2053,1838,78.8,392325,5,234936,1577,1323
2944,1691,69.6,507155,11,139400,1225,1278
2292,1663,76.2,248045,10,192356,1173,1304
2460,1542,85.8,757707,7,114445,1109,1161
3000,2064,71.8,503932,12,117056,1505,1799
2098,1363,77.7,304059,8,175574,980,1130
3000,1820,70.5,403769,12,173113,1543,1629
1170,895,68.5,660093,11,209528,613,692
2362,1284,77.3,196364,8,207617,984,950
2240,1030,79.4,290842,12,192370,863,904
1876,1548,94.0,569246,8,153598,1141,1384
2212,1994,74.4,307152,5,230862,1335,1649
2113,1340,77.6,650601,10,183951,904,1209
2234,1859,68.0,173927,5,248285,1279,1390
2546,1324,82.9,629134,9,218390,1193,1105
3000,1983,81.2,129213,6,82754,1680,1592
3000,2066,89.9,89067,6,131104,1383,1549
2643,1909,86.9,726721,11,175078,1465,1662
2173,1377,80.8,498564,6,201257,1010,1094
2808,1481,74.2,333315,11,171309,1219,1227
1505,1356,79.6,247468,7,212573,1094,1126
3000,1812,77.1,524158,5,124465,1439,1436
2564,1445,85.6,446482,12,107185,1076,1187
2873,1595,84.6,793950,9,84435,1103,1390
2529,1851,75.6,787916,9,175330,1615,1459
3000,2163,66.3,537218,6,195505,1977,1781
2586,2154,88.7,398867,10,132076,2010,1771
2864,2171,82.7,433621,7,182377,1449,1741
3000,2054,75.4,571385,11,84128,1791,1742
1892,989,82.3,153134,7,92376,858,707
2284,2048,78.6,316413,6,197807,1913,1723
3000,2200,88.5,134196,11,139412,1597,1688
2813,2106,62.6,132820,11,192483,1838,1547
2002,1432,74.8,221004,6,220551,954,1156
1958,1427,90.8,429382,12,224209,1198,1239
2071,1772,82.5,645038,5,105129,1338,1623
3000,2082,92.2,429557,10,160100,1834,1636
3000,2182,68.2,321543,7,203437,1983,1577
2667,1509,86.6,139294,9,210447,1146,1112
2665,1448,86.1,476213,6,212318,1170,1209
1328,1117,64.5,275313,5,114929,765,815
3000,2048,75.6,522753,9,108694,1587,1603
3000,2057,77.1,783575,12,178252,1560,1772
2945,1483,65.0,160146,7,204690,1045,1060
2934,1463,75.8,232730,6,130849,1344,1266
3000,2197,85.0,420628,11,93323,1526,1733
3000,2056,74.9,777402,12,200431,1729,1711
2556,1936,79.9,635703,12,127447,1775,1406
2207,1241,80.0,726725,10,104113,1146,971
2613,1363,77.9,320275,6,100852,1210,1049
3000,2091,72.4,794268,12,130109,1470,1762
3000,1936,83.3,154040,10,178719,1733,1599
2058,1751,65.3,118140,5,137720,1283,1138
2872,1904,78.1,696034,5,78616,1764,1619
3000,1498,89.1,747631,12,91959,1292,1391
1590,912,74.4,145221,7,125838,808,733
1355,801,72.2,161668,10,190448,541,666
2011,1441,83.8,103885,6,92240,1189,1015
1534,1019,79.3,155245,5,173115,913,804
3000,1654,84.0,230782,6,95980,1503,1458
3000,2048,78.3,778455,7,112033,1349,1874
2328,1184,58.9,560859,10,105133,1103,1082
3000,1953,87.4,640558,6,86765,1295,1664
3000,1876,94.6,638820,9,192483,1565,1568
2100,1529,88.3,465253,6,156096,1312,1051
1962,1046,55.0,654192,8,220434,714,786
2568,1635,81.6,508981,8,92306,1086,1305
1590,1002,74.3,306473,11,100328,887,785
3000,2007,69.3,483999,7,128630,1536,1518
1964,922,79.0,464126,7,209027,629,777
1404,1200,76.8,672886,7,128508,1055,995
3000,1566,82.1,786844,9,146473,1417,1375
1554,1093,78.5,375951,10,127781,903,924
1714,1079,69.0,629641,9,89039,754,865
1892,1683,73.4,151829,11,239401,1102,1378
1427,997,72.1,639319,6,170994,858,751
2944,1781,64.3,347420,12,212871,1452,1394
1802,1551,67.0,108361,5,190212,1311,1150
1547,943,76.3,341537,10,164994,843,670
2985,1408,89.4,519663,8,90694,1099,1165
2461,2024,73.7,165860,8,187478,1391,1605
3000,1947,71.9,745305,11,102190,1815,1615
1529,986,68.5,135924,12,147517,802,673
3000,2149,78.2,749605,8,185095,1794,1717
1751,1263,87.4,589139,11,211890,1175,987
2770,2172,94.0,317393,6,194883,2019,1792
1862,1459,80.3,361340,6,192518,1199,1154
1840,1563,79.1,613383,7,101082,1155,1153
2288,1754,73.7,513059,5,135572,1665,1244
2200,1202,75.0,563583,7,82510,1027,949
3000,2169,83.0,360199,6,200908,1676,1723
1888,946,75.5,431226,9,241703,774,748
3000,1971,76.7,792705,7,121219,1527,1703
2031,1663,77.8,234024,10,90347,1524,1324
1827,1288,73.3,380856,6,158225,1024,1042
2490,1728,77.4,290113,6,224922,1550,1222
1856,1350,61.8,630880,12,171595,1218,1088
1895,1137,82.4,630089,12,83186,1020,1040
2823,1671,96.8,290561,9,245498,1448,1328
2149,1440,73.6,138601,9,220014,1305,1047
1894,1272,81.0,88232,9,98029,975,951
1911,950,84.8,387764,12,236315,650,779
3000,2121,88.2,375443,5,153870,1915,1709
1528,1062,75.9,791641,10,140082,849,877
1985,943,63.6,418257,6,155684,649,652
2460,1145,80.1,264621,9,221050,784,996
2077,1423,79.0,721685,5,190409,993,1218
2706,1816,75.2,433569,8,85368,1590,1471
2782,1680,76.9,511406,10,242581,1450,1385
1710,801,79.1,148881,11,100862,570,630
3000,1696,80.9,355700,11,205474,1533,1329
2580,2127,80.6,759841,12,186324,1562,1626
1613,1053,76.3,504444,8,107817,935,943
2139,1252,81.1,328041,8,104878,997,1010
3000,1860,75.7,530480,6,227307,1617,1359
2604,1983,83.1,735496,5,148447,1516,1551
3000,1814,73.0,277273,5,189551,1368,1430
1490,808,78.6,443684,8,163212,729,675
3000,2056,65.0,770257,10,202287,1358,1643
3000,1922,75.0,204125,7,158867,1811,1380
3000,1615,82.5,598158,8,125291,1364,1321
1594,1007,69.7,522426,6,138592,785,709
3000,1954,75.4,569366,8,225339,1638,1558
1536,1203,58.8,332878,10,156906,826,894
1751,951,67.1,305993,10,112354,765,829
1106,853,69.1,572631,8,238556,807,667
3000,1943,78.8,235191,5,214405,1400,1525
1930,1427,80.7,382151,8,84742,1237,1255
1704,1386,77.6,215486,9,249815,1082,999
1157,903,74.9,85979,9,196612,764,654
1161,1053,75.0,778441,7,103047,749,843
3000,2050,83.7,390826,6,116504,1622,1470
3000,1935,79.7,777932,12,196178,1827,1660
2181,1309,75.3,181033,6,211458,928,1083
1147,898,88.3,502904,11,116831,755,789
1135,952,93.6,224701,5,119970,783,800
1920,1713,68.0,648853,12,128746,1404,1354
2150,1677,82.2,644266,6,179653,1400,1287
2365,1137,98.0,161077,7,105068,910,1056
2214,1621,80.2,736686,9,93243,1062,1392
2959,1986,78.9,220133,5,193801,1827,1367
2135,1756,77.6,521344,10,211342,1577,1657
1291,960,81.9,789656,9,162663,674,818
2674,1600,84.0,715326,7,138671,1238,1129
2117,1197,68.0,768726,5,150607,1055,1082
2877,2100,77.8,326671,12,142971,1982,1449
1879,1615,59.8,156014,8,242997,1511,1207
2996,1958,76.3,215610,6,209416,1801,1590
2740,2018,70.8,440356,7,111415,1408,1659
1610,1200,80.7,651125,5,142233,1109,1078
3000,1439,64.7,188111,9,170202,1315,1193
3000,1856,73.9,555007,5,182273,1416,1671
2547,1487,85.7,312976,8,156932,1143,1199
1961,1259,72.6,325665,7,216772,992,960
2757,1754,62.8,556581,5,209331,1485,1355
2151,1269,80.1,416240,10,163403,924,1132
3000,2198,73.3,664664,7,224525,1444,1732
3000,1845,76.5,192261,7,206441,1277,1508
1996,1549,72.2,648763,9,211252,1211,1207
1381,837,93.8,126249,12,242370,615,646
1598,1029,65.5,219719,11,121632,905,859
3000,2188,98.0,552428,6,121838,1492,1884
2444,1362,74.9,695546,11,230567,1260,1021
2085,1237,79.5,261929,12,210140,1136,950
2584,2106,73.4,315578,10,237145,1943,1381
1459,826,73.1,466727,8,86048,720,656
1260,1025,71.7,232332,5,184857,699,755
3000,2100,82.8,664033,11,100310,1641,1742
2008,1597,66.7,637018,6,163182,1101,1372
2016,1083,80.9,184610,12,102256,1025,899
2227,1678,60.5,413957,9,97414,1258,1510
2693,1759,80.2,637876,6,77129,1452,1505
2611,1252,84.8,322877,7,185292,1107,1057
2410,1819,67.8,535837,7,137829,1685,1469
2679,1615,83.4,116153,8,93408,1416,1240
2276,1458,78.4,518256,10,131497,1243,1161
1507,1346,90.8,189910,5,104565,1063,1021
3000,2015,71.2,678020,5,239797,1676,1622
2201,1872,98.0,335924,9,131001,1270,1522
1323,816,58.9,282719,8,133442,747,649
3000,1995,75.4,685440,5,221975,1622,1670
3000,2043,64.4,116104,10,188357,1353,1488
1778,957,92.8,365558,12,199280,886,778
1759,1276,75.9,346403,7,186300,1017,1015
2076,1869,76.6,285056,12,240584,1702,1389
3000,2196,81.5,736463,12,111225,1992,1846
2225,1317,78.0,620668,8,248082,1178,1067
1814,898,73.2,126025,6,220417,600,801
3000,1860,67.9,594575,11,178070,1347,1422
2188,1079,79.3,459655,11,190915,985,866
3000,2172,81.0,728625,8,188545,1998,1773
1901,1296,83.6,305321,12,85219,1020,1027
2170,1101,93.3,493397,8,113153,861,995
1564,980,60.6,440544,10,243257,688,765
1830,1406,77.5,432484,10,168514,1322,1042
3000,1922,87.5,408396,5,141212,1372,1690
3000,1499,77.0,228053,11,208357,1060,1234
2890,1792,59.3,624111,9,166791,1520,1491
2294,1939,67.7,404962,9,77303,1402,1578
1511,990,80.6,770132,12,203842,922,801
2087,1052,80.3,267782,10,203138,687,857
3000,1780,83.4,571576,5,103901,1160,1544
2286,1727,71.8,757316,5,242416,1384,1360
2329,1984,80.1,557690,5,114184,1580,1621
3000,2079,70.4,707316,12,155106,1453,1812
3000,2146,80.1,675786,12,95079,1713,1675
1572,927,78.4,339285,10,180574,717,704
1769,817,71.4,512089,9,140704,749,584
1601,1365,90.5,192508,5,136805,891,1069
2482,1369,64.4,465579,10,219721,1291,1238
2536,2146,76.9,245904,6,76673,1797,1562
2247,1485,71.3,615491,6,214641,1033,1191
2827,1425,92.7,460202,7,175003,946,1277
3000,2111,82.8,376084,6,247567,1713,1708
3000,1653,72.8,273534,8,178153,1191,1226
3000,1761,75.8,799063,7,84691,1304,1635
1386,954,92.9,131632,6,83863,690,755
1730,1289,70.4,111364,8,229552,1089,952
2353,1584,63.9,236425,6,222212,1293,1180
2909,1927,80.3,779172,10,135531,1298,1719
1228,1045,80.5,785051,11,183156,844,862
3000,1999,83.3,551548,8,160678,1774,1816
2999,1862,83.4,713677,5,244254,1256,1684
2952,1558,92.2,234052,10,241243,1429,1287
2437,1337,64.3,779870,11,247172,1101,1145
3000,1720,68.4,182805,8,226629,1609,1251
1339,1207,83.3,152810,10,234172,838,896
1773,1324,69.2,160792,5,113024,1255,907
2974,1627,66.3,492652,8,220426,1372,1299
2778,1702,92.9,642302,8,199050,1396,1469
1000,835,65.0,344000,11,243488,672,583
2946,1484,75.2,784085,10,174971,975,1345
1597,819,77.5,392782,6,89904,763,627
1908,1120,88.5,188323,8,179545,944,918
1538,1311,63.0,415496,6,195152,888,1053
2330,1199,81.3,568907,8,113556,787,1091
2531,1453,70.9,679203,9,143970,967,1300
3000,1771,83.0,410313,7,179738,1475,1589
2447,1270,70.7,507397,6,140469,1059,1083
3000,1966,90.6,272488,6,140616,1573,1586
3000,1915,70.8,545060,11,98290,1421,1535
2731,2177,58.3,789900,5,239631,1762,1731
3000,1633,71.7,115319,9,206337,1314,1397
2720,1526,75.9,718302,5,75218,1001,1262
3000,1653,86.7,484843,9,208982,1215,1391
1094,850,67.9,261511,9,204464,566,715
1806,1374,68.1,767521,12,76703,1264,1144
3000,2013,85.7,428015,10,139681,1746,1582
3000,1948,67.0,318817,10,181181,1848,1641
1992,949,76.6,210678,10,154231,703,723
2153,1113,76.7,256006,8,211148,1017,911
2405,1369,79.7,679651,11,149455,1138,1196
3000,2165,72.0,522375,5,101926,1702,1750
2294,1104,70.6,737537,7,245873,791,802
2572,1481,80.7,247017,9,117357,1291,1243
2939,1637,70.8,167220,9,200596,1508,1268
2388,1877,67.1,84383,11,100052,1353,1469
2922,1802,87.8,445661,6,132577,1266,1521
2347,1243,81.9,798781,8,152355,1068,1104
1974,1412,92.1,580375,7,108641,1332,1156
2370,1792,84.3,302044,10,153743,1568,1403
1536,1063,67.9,711338,9,102503,782,878
2562,1876,78.8,642840,6,172826,1456,1557
2410,1803,69.9,91099,5,191150,1380,1285
1260,804,64.8,668140,9,85926,728,700
3000,1926,74.4,296379,6,227448,1698,1467
3000,2019,85.9,187765,5,107400,1669,1466
2055,1573,80.2,242958,8,114438,1152,1273
1986,1676,66.9,417377,10,190736,1561,1474
3000,1791,74.1,385905,11,157031,1515,1353
2560,1683,76.9,287999,5,162394,1584,1294
3000,2173,64.5,203997,9,97427,1791,1763
1544,846,83.7,628806,12,216004,758,758
3000,1666,76.2,792879,12,182984,1489,1512
2269,1622,66.9,640010,7,98692,1218,1314
3000,1735,66.4,293075,5,140450,1630,1101
2023,1455,86.8,256262,7,216822,955,1168
2278,1068,75.0,236719,7,174462,940,865
2104,1169,87.5,178420,5,94014,1098,986
2091,1435,90.6,476958,11,140236,1079,1155
2694,1929,86.2,515888,11,117472,1629,1780
1907,1456,73.7,587962,12,165556,1192,1186
1713,919,58.0,569754,8,222588,807,719
2185,1630,80.5,290480,11,151347,1483,1245
3000,1881,94.7,317824,5,150835,1563,1619
3000,2169,77.7,570690,12,233436,1941,1695
2815,1540,62.1,331602,11,175832,1145,1272
1829,916,72.6,233089,6,174083,658,680
3000,1590,76.5,349522,10,120834,1239,1294
3000,1950,69.2,275901,7,181351,1664,1355
2367,1812,57.5,143585,10,175784,1280,1415
2252,1881,77.2,677700,12,144449,1607,1570
2678,1433,71.7,694240,9,248372,1101,1254
1975,1312,92.2,238220,7,229331,1166,1038
2523,1601,78.8,126636,12,206178,1058,1306
2177,1919,81.8,611956,9,169035,1632,1581
2689,1941,77.0,232301,6,155860,1640,1563
1545,1359,78.7,363274,6,107357,1267,1094
2660,1287,64.8,126177,10,128504,1112,1010
2818,2060,69.7,242914,6,210443,1831,1468
2905,1696,86.7,650890,12,154406,1563,1441
2394,2095,79.7,659165,12,229397,1786,1683
3000,2012,74.8,229101,5,100884,1483,1681
2187,1503,81.9,321858,7,163961,1369,1251
2881,1380,82.0,176652,9,188219,1206,1110
3000,1589,93.9,133404,11,165448,1235,1257
2420,1660,79.3,794364,10,230615,1433,1364
2187,1046,69.5,552028,10,248174,952,880
3000,1899,77.1,470309,6,95271,1790,1703
1914,953,82.9,631159,6,97742,892,809
3000,1796,86.0,684856,12,97807,1343,1676
2623,1909,65.1,660835,9,194206,1482,1584
2595,1496,80.0,91908,7,140218,1022,1196
2475,2108,70.8,214502,7,203330,1527,1538
2461,2043,73.5,551532,12,145958,1869,1658
3000,1892,84.8,350547,10,184831,1435,1469
2729,1870,84.0,787388,9,209725,1564,1642
3000,1808,72.6,559091,10,170938,1536,1476
1775,893,76.7,768715,12,169413,790,803
3000,1757,73.7,225041,11,90441,1238,1309
3000,1811,98.0,702049,8,146887,1343,1628
1710,1252,80.2,311374,7,170511,982,995
2320,2027,71.3,792487,9,155847,1539,1704
2656,1711,88.6,193536,11,232637,1617,1415
1264,1017,88.9,451765,9,233643,916,823
1432,1273,92.3,650848,10,218836,1011,1248
1842,1231,94.7,391503,6,140677,1125,1036
2237,1140,83.7,417021,12,200527,860,971
2326,1350,75.2,790176,9,144175,1196,1210
3000,2112,76.4,386222,10,115704,1515,1644
3000,2077,75.7,514932,5,135008,1831,1603
1567,1156,74.8,119269,6,87419,910,913
1000,822,87.9,686391,6,133061,561,723
2564,1321,78.0,546681,7,155630,967,1178
3000,1923,85.8,370894,8,242209,1482,1426
3000,1601,83.4,91642,7,129847,1401,1241
2289,2003,69.2,506002,5,232929,1346,1591
3000,2046,64.3,89114,10,115050,1735,1609
2781,1561,68.1,80867,12,108420,1350,1250
2134,1241,74.6,523591,6,165824,1050,956
2802,1568,79.1,216092,6,192689,1377,1268
3000,1815,72.8,218159,11,82758,1277,1463
3000,2148,83.6,550356,9,113687,1775,1818
2287,1315,73.8,118662,12,154745,1226,962
3000,1839,80.1,305652,8,132926,1532,1383
3000,1591,78.9,187591,8,199709,1326,1403
1801,1135,91.9,497727,9,164453,989,1013
1985,1057,70.2,556471,12,103063,793,885
1980,1296,95.7,599218,5,231531,1115,1089
2291,1695,73.2,263766,8,126258,1568,1499
1685,959,67.3,144260,6,202948,626,727
3000,1651,76.3,136652,5,211485,1504,1255
3000,1489,98.0,386829,7,243553,1066,1198
1740,1179,85.2,761008,12,162239,928,1017
2951,1756,82.8,236765,7,182771,1590,1243
1986,1490,84.4,264854,5,133603,1337,1197
3000,2091,71.8,152640,6,193681,1919,1704
3000,1991,80.6,516011,11,156092,1856,1787
3000,1866,78.0,569508,7,151589,1463,1471
2152,1084,92.5,542910,10,224707,918,816
2256,1196,77.1,700014,6,83780,918,1030
1421,811,75.0,430227,9,229343,612,715
2462,2125,68.7,176809,8,224112,1656,1421
3000,2076,79.1,288372,11,163614,1812,1624
2391,1298,80.3,556950,11,160785,1039,1127
2866,1553,68.4,521448,5,138316,1389,1182
1260,834,81.6,462322,8,248980,729,609
3000,1526,79.9,571734,9,94455,1001,1237
2116,1648,86.1,538921,7,178288,1383,1305
1467,889,87.7,714554,11,194294,694,694
2929,1575,78.8,501932,10,238508,1240,1404
2621,1404,69.7,640593,6,211536,1257,1267
3000,1769,71.4,259069,12,187673,1440,1416
2555,1821,92.1,568291,11,95442,1667,1622
1548,1217,79.3,729580,11,140403,1051,945
1645,914,92.0,357727,6,99297,746,744
2491,1416,82.0,640955,9,229212,1241,1166
2619,2019,84.0,601848,5,206184,1336,1692
3000,1625,85.5,122859,11,207569,1069,1087
3000,1898,68.2,498686,11,189145,1281,1520
2223,1212,80.5,173736,8,163733,947,996
3000,2199,68.1,776470,12,101245,1585,1889
1966,1528,75.7,664213,10,132697,1444,1333
2354,2100,83.1,159001,7,98960,1707,1539
3000,1820,69.8,167661,5,201860,1545,1116
2762,1560,82.5,508021,12,103040,1144,1410
2758,1475,66.0,328320,10,197870,1101,1232
2540,1256,87.1,105132,10,196145,943,1110
3000,1719,72.7,469982,9,155378,1478,1410
2138,991,69.8,359248,12,98665,785,833
2598,1538,66.5,152775,9,130090,1239,1356
3000,1922,73.4,657383,6,131016,1591,1402
2740,1777,62.7,738855,7,197567,1565,1496
2294,1808,73.6,624748,5,94905,1224,1563
1548,895,86.8,672144,6,220087,790,770
2054,1462,76.5,235873,11,208176,1197,1159
3000,2013,68.6,269773,7,107604,1713,1397
1456,836,79.8,230140,8,200854,626,724
3000,2192,79.1,630846,8,191990,1694,1934
1607,1078,93.7,762500,6,205921,775,999
1176,1016,84.3,596123,5,108062,959,824
1891,1666,80.4,714656,7,102578,1331,1354
2618,1672,85.2,539863,8,116385,1586,1393
2501,2096,76.9,359115,8,139028,1670,1824
1522,861,77.4,386548,5,213891,616,675
2886,1395,91.3,134231,12,204137,1119,1252
3000,1528,64.9,102649,6,236954,1011,1141
3000,2165,85.7,580742,9,85260,1995,1720
1593,1196,77.1,395669,11,77022,1071,842
3000,1498,75.7,477595,10,197349,1300,1294
3000,1842,73.6,481516,11,123875,1534,1587
1285,976,79.2,279711,7,133464,804,704
2284,1195,77.7,422643,8,170690,1134,1068
1760,1244,74.7,418947,10,92922,912,916
3000,2056,72.4,359668,10,187472,1817,1710
1922,875,62.8,670886,9,131901,721,764
1206,1064,72.2,404838,10,185725,1003,898
2617,1254,73.9,514624,5,220951,1127,900
2708,1517,79.2,724774,6,104944,1440,1366
3000,1534,93.7,703688,7,237903,1268,1333
2659,1650,73.1,721104,5,167870,1174,1337
3000,2190,69.8,274404,6,236512,1754,1759
1102,943,72.3,105187,5,111353,814,737
2473,1684,79.2,267968,8,180798,1486,1158
2221,1892,82.7,280669,8,145680,1230,1360
3000,1922,83.8,734739,9,210489,1540,1768
2388,1195,84.6,547455,5,181034,861,1028
3000,1848,85.8,138827,11,161540,1686,1493
3000,1747,75.8,177473,10,234772,1216,1290
2017,1690,94.4,192087,8,140995,1436,1373
3000,1974,75.2,533904,12,113497,1441,1764
2317,1967,78.9,609498,6,181418,1489,1823
1822,1368,88.4,698944,12,184205,1275,1161
2518,1862,82.5,757258,12,151842,1345,1694
1467,908,60.1,225227,9,160157,616,776
2602,1865,78.0,303036,12,242922,1251,1364
2433,2009,84.9,253032,12,203220,1610,1791
2227,1734,67.3,338308,12,94355,1461,1384
1511,1197,84.0,738559,10,112123,896,1027
3000,2046,81.1,494081,7,245726,1754,1610
2773,1433,87.5,611498,5,202131,958,1187
3000,1956,72.5,432886,11,235133,1774,1516
3000,1986,86.0,100778,12,128176,1777,1483
2866,2038,79.3,126221,12,204827,1927,1644
3000,1532,92.1,467305,8,199950,1426,1385
1508,1034,98.0,597528,11,126571,783,844
2083,1457,90.3,235038,10,171393,1122,1124
2101,1550,81.8,599775,6,184798,1354,1291
1724,1387,96.6,663679,5,159198,957,1091
2532,1832,82.8,376566,11,219756,1363,1516
2828,1897,70.7,617422,6,220752,1301,1512
3000,1753,77.7,370902,9,223855,1379,1277
1509,1291,84.1,568412,8,215599,1053,1091
2280,1712,84.6,630078,8,160415,1221,1383
3000,2076,69.0,794187,9,141752,1366,1852
2590,2053,69.3,328686,6,220491,1778,1549
2949,1997,75.3,375949,11,160785,1310,1541
3000,1991,82.3,199246,5,118115,1876,1534
1231,969,83.3,226933,6,163785,694,809
2078,1745,79.1,579244,5,99824,1482,1563
